Node, Long, Lat, Time(hrs), Cost(kg)
Fontrabiouse,2.1,42.6,50.0,436.0
Porteille_Orlu,2.0,42.7,62.0,445.3
Orlu,1.9,42.7,59.9,391.5
Montaillou,1.9,42.8,69.4,456.8
Luzenac,1.8,42.8,61.2,392.1
Roquefeuil,2.0,42.8,67.9,454.5
Auzat,1.5,42.7,44.2,290.8
Toulouse,1.4,43.6,90.0,410.1
Ax,1.8,42.7,56.3,363.4
Montgaillard,1.6,42.9,57.7,383.3
Lavelanet,1.8,42.9,69.0,471.8
Mirepoix,1.9,43.0,79.7,498.8
Fanjeaux,2.0,43.1,90.7,585.8
Pamiers,1.6,43.1,65.9,390.1
Carcassonne,2.4,43.2,107.3,716.3
Tarascon,1.6,42.8,55.8,381.7
Saint_Girons,1.1,42.9,80.4,559.9
Salies,1.0,43.0,93.4,457.9
Campan,0.2,43.0,205.5,737.1
Tarbes,0.1,43.2,163.0,720.2
Lhez,0.2,43.2,157.6,667.4
Lanespede,0.3,43.2,154.0,632.2
Capvern,0.3,43.1,149.3,585.5
Montrejeau,0.6,43.1,138.5,479.4
Saint_Bertrand,0.6,43.0,135.9,483.6
Chaum,0.7,42.9,115.1,487.7
Saint_Beat,0.7,42.9,113.6,490.2
Melles,0.8,42.9,108.4,530.7
Bosost,0.7,42.8,101.5,585.3
Las_Bordas,0.7,42.7,97.7,557.0
Vielha,0.8,42.7,93.0,519.5
Salardu,0.9,42.7,83.5,479.6
Bonaigua,1.0,42.7,73.5,437.6
Esterri,1.1,42.6,59.0,376.6
Llavorsi,1.2,42.5,48.4,292.9
Alins,1.3,42.6,41.1,235.5
Tor,1.4,42.6,34.3,207.0
Port_Cabus,1.4,42.5,29.3,185.7
Rialp,1.1,42.4,53.8,334.8
Ribera_Montardit,1.1,42.4,52.2,300.1
Vic,2.3,41.9,63.7,492.2
Granollers,2.3,41.6,82.4,675.2
Martorell,1.9,41.5,71.0,535.8
PuntMar4,0.9,40.7,113.3,526.4
Valldarques,1.2,42.1,22.7,172.5
Boixols,1.2,42.2,26.7,204.3
Isona,1.0,42.1,35.1,270.3
Sigarra,1.5,41.7,68.6,512.7
Portella_Blanca,1.7,42.5,42.8,215.9
Vall_Llosa,1.7,42.5,31.9,204.5
Vall_Civera,1.7,42.5,36.5,185.2
Hostalnou,2.6,42.2,68.3,537.0
Besalu,2.7,42.2,72.1,574.7
El_Volo,2.8,42.5,89.4,669.9
El_Pertus,2.9,42.5,93.3,709.0
Figueres,3.0,42.3,83.4,654.4
Calafat,0.8,40.9,119.8,682.4
Cambrils,1.1,41.1,107.9,614.4
Empuries,3.1,42.1,93.3,556.5
PuntMar2,3.5,41.9,103.9,552.7
PuntMar5,1.4,41.1,103.1,532.6
PuntMar1,2.2,41.3,85.7,539.6
Girona,2.8,42.0,100.2,702.0
Manresa,1.8,41.7,56.0,388.2
Barcelona,2.2,41.4,82.5,540.8
Tarragona,1.2,41.1,99.5,531.3
Tarrega,1.1,41.6,75.7,538.5
Iesso,1.3,41.8,65.4,437.7
El_Golero,1.5,42.3,0.0,0.0
Espaen,1.3,42.3,19.7,144.2
La_Guardia,1.2,42.3,30.5,190.1
Buseu,1.1,42.3,41.0,233.9
Gerri,1.1,42.3,47.1,260.0
Pobla_Segur,1.0,42.2,50.7,319.8
Tremp,0.9,42.2,43.8,338.9
Berga,1.8,42.1,39.9,274.1
Montmajor,1.7,42.0,42.2,272.7
Sant_Llorenc,1.6,42.1,22.4,94.5
Solsona,1.5,42.0,32.9,181.5
Cardona,1.7,41.9,43.3,263.7
PuntMar3,3.5,42.2,101.4,559.4
Ceret,2.8,42.5,93.3,631.2
Prats_Mollo,2.5,42.4,74.8,523.3
Coll_Ares,2.5,42.4,68.7,497.8
Mollo,2.4,42.3,63.4,475.5
Sant_Pau,2.4,42.3,56.5,420.9
Pobla_Lillet,2.0,42.2,35.6,240.1
Castellar,2.0,42.3,42.3,268.3
La_Molina,2.0,42.3,43.8,303.5
Ripoll,2.2,42.2,48.0,337.9
Campdevanol,2.2,42.2,45.9,321.2
Guardiola,1.9,42.2,30.4,198.7
Sorribes,1.7,42.2,19.0,109.7
Josa,1.6,42.3,14.5,74.0
Tuixent,1.6,42.2,11.0,46.2
Fornols,1.5,42.3,6.0,25.1
Adraen,1.5,42.3,2.9,12.0
Amposta,0.6,40.7,113.2,523.8
Tortosa,0.5,40.8,108.2,519.7
Xerta,0.5,40.9,103.8,516.0
Mora,0.7,41.1,93.9,507.8
Ribaroja,0.5,41.3,85.2,500.6
Mequinensa,0.3,41.4,77.1,493.9
Lleida,0.6,41.6,61.8,481.2
Balaguer,0.8,41.8,52.1,473.2
Cubells,1.0,41.9,44.4,397.5
Artesa,1.0,41.9,40.0,353.7
El_Gos,1.1,41.9,35.7,312.2
Ponts,1.2,41.9,33.3,287.8
Oliana,1.3,42.1,23.2,188.3
Coll_Nargo,1.3,42.2,17.0,127.9
Barceloneta,1.5,42.2,7.5,48.7
Organya,1.3,42.2,14.7,105.6
Obaga_Taus,1.2,42.3,26.9,175.1
Cabo,1.2,42.2,19.8,145.4
Hostalets,1.4,42.3,18.0,131.3
Estagell,2.7,42.8,88.3,663.4
Fenollet,2.5,42.8,84.5,689.1
Atsat,2.2,42.8,70.2,576.0
Campagna,2.1,42.8,61.4,507.1
Matamala,2.1,42.6,47.7,417.9
Porte,1.8,42.5,48.0,263.8
Porta,1.8,42.5,44.3,279.3
Narbona,3.0,43.2,99.5,571.8
PuntMar6,3.2,42.9,90.6,568.6
Ruscino_Port,3.0,42.7,83.2,565.9
Perpinya,2.9,42.7,79.1,572.7
Nefiac,2.7,42.7,69.5,652.8
Prada,2.4,42.6,58.1,540.7
Vilafranca,2.4,42.6,55.1,511.4
Oleta,2.3,42.6,50.4,464.5
Fontpedrosa,2.2,42.5,45.3,414.7
La_Cabanassa,2.1,42.5,41.6,378.2
Sallagosa,2.0,42.5,37.5,337.8
Llivia,2.0,42.5,35.0,312.9
Bolvir,1.9,42.4,30.2,265.7
All,1.8,42.4,27.8,242.0
Baltarga,1.8,42.4,25.9,223.7
Bellver,1.8,42.4,24.3,208.4
Martinet,1.7,42.4,20.9,174.6
Pont_Arseguel,1.6,42.4,16.0,126.6
Torrent_Arenes,1.5,42.4,12.8,95.3
Montmalus,1.7,42.5,39.0,199.8
Coll_Ordino,1.6,42.6,31.1,217.6
Montaup,1.5,42.5,29.5,206.3
Juclar,1.7,42.6,41.0,268.8
Envalira,1.7,42.5,38.3,221.9
Hospitalet,1.8,42.6,46.1,282.9
Soldeu,1.7,42.6,33.1,228.4
Incles,1.7,42.6,35.1,244.2
Canillo,1.6,42.6,29.2,219.6
Cortals,1.6,42.5,31.6,202.7
Encamp,1.6,42.5,26.3,196.9
Collada_Miners,1.6,42.6,37.9,256.0
Serrat,1.5,42.6,31.4,236.9
Ordino,1.5,42.6,26.5,198.3
Coma_Pedrosa,1.4,42.6,34.4,207.3
Seturia,1.4,42.5,27.3,177.5
La_Massana,1.5,42.5,25.2,188.2
Coll_Montaner,1.5,42.5,29.1,172.4
Os_Civis,1.4,42.5,23.9,150.9
Madriu,1.6,42.5,34.8,176.0
Andorra,1.5,42.5,22.2,164.6
Sant_Julia,1.5,42.5,18.9,138.3
Rabassa,1.6,42.4,26.1,138.0
La_Seu,1.5,42.4,10.5,72.1
