Stage,Distance,Time,StageCost,Cost,Alt,Type,Long,Lat
Campan,0.0,0.0,0.0,0.0,656.0,None,0.177,43.017
Tarbes,25.5,10.2,16.8,16.8,656.0,RRiu,0.074,43.233
Lhez,36.1,15.5,52.9,69.7,304.0,RVia,0.197,43.204
Lanespede,43.2,19.1,35.2,104.9,332.0,RVia,0.267,43.167
Capvern,51.6,23.9,46.8,151.6,320.0,RVia,0.317,43.102
Montrejeau,72.5,34.6,106.1,257.7,608.0,RVia,0.569,43.085
Salies,105.0,47.6,21.5,279.2,455.0,RRiu,0.959,43.048
Saint_Girons,125.4,60.5,102.0,381.1,281.0,RCam,1.145,42.928
Tarascon,164.6,85.2,194.0,575.1,387.0,RCam,1.604,42.839
Montgaillard,169.5,87.1,3.2,578.3,463.0,RRiu,1.634,42.877
Lavelanet,187.2,98.4,88.5,666.8,442.0,RCam,1.848,42.877
Roquefeuil,200.8,107.5,71.8,738.6,525.0,RCam,1.998,42.827
Campagna,211.2,114.2,52.6,791.2,834.0,RCam,2.090,42.763
Matamala,230.9,127.9,108.1,899.3,735.0,RCam,2.119,42.588
Sallagosa,246.4,138.1,80.2,979.5,1455.0,RCam,2.040,42.461
Llivia,251.4,140.6,24.9,1004.4,1230.0,RVia,1.981,42.464
