"nom","lat","long","alt"
"La_Seu",42.357778,1.458611,691
"Rabassa",42.442284,1.553354,2400
"Sant_Julia",42.47,1.49,908
"Andorra",42.507489,1.523198,1022
"Madriu",42.485211,1.641620,2250
"Os_Civis",42.510833,1.439167,1492.8
"Coll_Montaner",42.516208,1.464438,20 78
"La_Massana",42.544167,1.516389,1230
"Seturia",42.55,1.43,1800
"Coma_Pedrosa",42.591806,1.443667,2942
"Ordino",42.555,1.533056,1298
"Serrat",42.618964,1.538772,1520
"Collada_Miners",42.622908,1.604447,2700
"Encamp",42.536111,1.582778,1238
"Cortals",42.536812,1.628276,2000
"Canillo",42.566378,1.60094,1526
"Incles",42.600689,1.682416,1800
"Soldeu",42.576944,1.667222,1710
"Hospitalet",42.590833,1.803056,1279
"Envalira",42.54,1.721667,2408.3
"Juclar",42.607768,1.732331,2620
"Montaup",42.527773,1.547813,1790
"Coll_Ordino",42.556024,1.572109,1980
"Montmalus",42.508889,1.686944,2781
"Torrent_Arenes",42.36009,1.51444,715
"Pont_Arseguel",42.35939,1.58749,794
"Martinet",42.35764,1.69542,1003
"Bellver",42.37305,1.7750,1015
"Baltarga",42.37110,1.81135,1039
"All",42.39216,1.84555,1051
"Bolvir",42.41907,1.88681,1120
"Llivia",42.464444,1.980833,1199
"Sallagosa",42.4608,2.0403,1230
"La_Cabanassa",42.5022,2.1156,1350
"Fontpedrosa",42.5128,2.1808,880
"Oleta",42.5561,2.2706,563
"Vilafranca",42.5881,2.3686,390
"Prada",42.6181,2.4228,300
"Nefiac",42.6947,2.6678,104
"Perpinya",42.6986,2.8956,8
"Ruscino_Port",42.713510,3.018316,4
"PuntMar6",42.920388,3.193038,1
"Narbona",43.1836,3.0042,10
"Porta",42.5272,1.8267,1325
"Porte",42.5492,1.8325,1920
"Matamala",42.5878,2.1194,1455
"Campagna",42.7631389,2.0900203,735
"Atsat",42.8044,2.2361,394
"Fenollet",42.81,2.505,170
"Estagell",42.7733,2.6994,58
"Hostalets",42.2799,1.36295,600
"Cabo",42.239169, 1.246962,768
"Obaga_Taus",42.260861,1.1887093,1600
"Organya",42.212778,1.329444,558
"Barceloneta",42.237408,1.451983,890
"Coll_Nargo",42.173757,1.31621,573
"Oliana",42.067136,1.31419,469
"Ponts",41.91601,1.18825,363
"El_Gos",41.8888,1.1452,434
"Artesa",41.89539,1.045428,394
"Cubells",41.853611,0.959722,499
"Balaguer",41.7925,0.8075,233
"Lleida",41.616667,0.633333,155
"Mequinensa",41.374167,0.3025,75
"Ribaroja",41.251446,0.485558,75
"Mora",41.100278,0.650833,31
"Xerta",40.909444,0.491667,12
"Tortosa",40.8125,0.521111,12
"Amposta",40.710556,0.580833,8
"Adraen",42.2748,1.49915,1434
"Fornols",42.252678,1.515542,1285
"Tuixent",42.232778,1.568333,1225
"Josa",42.256944,1.619167,1431
"Sorribes",42.2229112,1.6732009,995
"Guardiola",42.234722,1.880556,720
"Campdevanol",42.225833,2.169444,738
"Ripoll",42.201085,2.190272,691
"La_Molina",42.343828,1.956253,1400
"Castellar",42.285,2.018889,1395
"Pobla_Lillet",42.246111,1.976389,843
"Sant_Pau",42.263611,2.366667,867
"Mollo",42.349444,2.406111,1182
"Coll_Ares",42.367222,2.456667,1513
"Prats_Mollo",42.404578,2.478453,751
"Ceret",42.488569,2.751389,154
"PuntMar3",42.205379, 3.461384,1
"Cardona",41.914143,1.680986,507
"Solsona",41.994425,1.517823,670
"Sant_Llorenc",42.137213,1.590091,890
"Montmajor",42.017752,1.735373,756
"Berga",42.1,1.845556,704
"Tremp",42.16668,0.89465,468
"Pobla_Segur",42.247367,0.967273,524
"Gerri",42.324833,1.066578,604
"Buseu",42.307428,1.118328,1345
"La_Guardia",42.285833,1.234722,1594
"Espaen",42.295833,1.343056,669
"El_Golero",42.271270,1.523894,1820
"Iesso",41.787672, 1.289908,484
"Tarrega",41.646389, 1.139444,373
"Tarragona",41.11868, 1.24532 ,69
"Barcelona",41.3825, 2.176944 ,9
"Manresa",41.726389, 1.829167 ,238
"Girona",41.983333, 2.816667 ,70
"PuntMar1",41.282889, 2.231827,1
"PuntMar5",41.093887, 1.402857,1
"PuntMar2",41.916381, 3.476958,1
"Empuries",42.13333, 3.10833,10
"Cambrils",41.06699, 1.05645 ,10
"Calafat",40.92525, 0.842514,10
"Figueres",42.266667, 2.95 ,39
"El_Pertus",42.464167, 2.862778 ,280
"El_Volo",42.523889, 2.83 ,89
"Besalu",42.198926, 2.698557,151
"Hostalnou",42.211983, 2.607426,151
"Vall_Civera",42.484342, 1.661532,2518
"Vall_Llosa",42.484797, 1.705686,2060
"Portella_Blanca",42.503181, 1.726238,2517
"Sigarra",41.7075, 1.542222 ,608
"Isona",42.116067, 1.041514 ,640
"Boixols",42.170719, 1.163088,1162
"Valldarques",42.149661, 1.226194 ,931
"PuntMar4",40.734032, 0.908305,1
"Martorell",41.47444, 1.930537,56
"Granollers",41.608333, 2.288889,145
"Vic",41.930379, 2.254575,498
"Ribera_Montardit",42.385523, 1.117048,671
"Rialp",42.445833, 1.135278,725
"Port_Cabus",42.546389, 1.419722 ,2302
"Tor",42.5667, 1.38333 ,1650
"Alins",42.550556, 1.319722 ,1048
"Llavorsi",42.495748, 1.210519 ,811
"Esterri",42.63, 1.124444 ,957
"Bonaigua",42.663478, 0.983319 ,2076
"Salardu",42.707333, 0.9015 ,1268
"Vielha",42.702347, 0.795814 ,900
"Las_Bordas",42.739722, 0.720833,852
"Bosost",42.7875, 0.693611 ,924
"Melles",42.868056, 0.758611 ,719
"Saint_Beat",42.914444, 0.6925 ,500
"Chaum",42.934167, 0.655278 ,495
"Saint_Bertrand",43.0275, 0.570833 ,490
"Montrejeau",43.084722, 0.568889 ,455
"Capvern",43.101667, 0.316667 ,608
"Lanespede",43.166944, 0.266944 ,320
"Lhez",43.203889, 0.196944 ,332
"Tarbes",43.232778, 0.074444 ,304
"Campan",43.016944, 0.1775 ,656
"Salies",43.0478, 0.9586,281
"Saint_Girons",42.9283, 1.1453,387
"Tarascon",42.8393109,1.6035273,463
"Carcassonne",43.1551, 2.3511,81
"Pamiers",43.0599, 1.6122,365
"Fanjeaux",43.1301, 2.0352,155
"Mirepoix",43.0318, 1.8732,276
"Lavelanet",42.877, 1.8484,525
"Montgaillard",42.877, 1.6342,442
"Ax",42.71997, 1.832370,720
"Toulouse",43.59, 1.4442,115
"Auzat",42.7097, 1.4804,720
"Roquefeuil",42.8265839,1.9981643,834
"Luzenac",42.761337, 1.761967,594
"Montaillou",42.7907939,1.8864543,1325
"Orlu",42.6994709,1.8908203,830
"Porteille_Orlu",42.6567239,1.9956403,2280
"Fontrabiouse",42.6200892,2.1112855,1460
